text,unique_abbrev,taxo_number,abbrev_num
Freshwater ecotoxicity,FreWEtox,B8.1.1,FreWEtox
Marine ecotoxicity,MarEtox,B8.1.2,MarEtox
Terrestrial ecotoxicity,TerrEtox,B8.1.3,TerrEtox
Carcinogenic effect,CarcEff,B8.2.1,CarcEff
Non-carcinogenic effect,NonCarcE,B8.2.2,NonCarcE
Evaporation,Evap,B9.3.1,Evap
Transpiration,Transp,B9.3.2,Transp
Expert perception,ExperPerc,C1.1.1,ExperPerc
Farmer perception,FarmPerc,C1.1.2,FarmPerc
Landowner perception,LOwnPerc,C1.1.3,LOwnPerc
Public perception,PublPerc,C1.1.4,PublPerc
Stakeholder perception,StakePerc,C1.1.5,StakePerc
Funding barrier,FundBarr,C2.1.1,FundBarr
Knowledge gap,KnowGap,C2.1.2,KnowGap
Logistics barrier,LogistBar,C2.1.3,LogistBar
Removal market,RemoMark,C2.1.4,RemoMark
Technology competitiveness,TechCompet,C2.1.5,TechCompet
Technology maturity,TechMatur,C2.1.6,TechMatur
Technology trade-off,TechTOff,C2.1.7,TechTOff
Extreme events,ExtEvents,C2.3.1,ExtEvents
ILUC emissions,ILUCemis,C2.3.2,ILUCemis
Microbe-mediated mineralization,MicrobMin,C2.3.3,MicrobMin
Ocean outgassing,OceOutgas,C2.3.4,OceOutgas
Sabotage leakage,SabotLeak,C2.3.5,SabotLeak
Unintended disturbance,UninDistu,C2.3.6,UninDistu
Autotrophic respiration,AutoResp,C2.5.1,AutoResp
Biome production,BiomProd,C2.5.2,BiomProd
Carbon fertilization,CarbFert,C2.5.3,CarbFert
Climatic condition,ClimCond,C2.5.4,ClimCond
Sequestration efficiency,SeqEffic,C2.5.5,SeqEffic
Sink saturation,SinkSat,C2.5.6,SinkSat
Resource conflict,ResConf,C4.3.1,ResConf
Delayed action,DelayAct,C4.4.1,DelayAct
Failure acknowledgement,FailAckn,C4.4.2,FailAckn
Lock-in,Lock-in,C4.4.3,Lock-in
Reduced action,ReducAct,C4.4.4,ReducAct
Conflicting policies,ConfPolic,C4.5.1,ConfPolic
Regulation challenge,RegChal,C4.5.2,RegChal
Sand demand,SandDem,B6.1.2,SandDem
Cloud albedo,CloudAlb,C5.2.1,CloudAlb
Surface albedo,SurfAlb,C5.2.2,SurfAlb
Air temperature,AirTemp,C5.11.1,AirTemp
Ocean temperature,OceTemp,C5.11.2,OceTemp
Surface temperature,SurfTemp,C5.11.3,SurfTemp
Temperature range,TempRang,C5.11.4,TempRang
