title,abstract,wosarticle__py,keywords,relevance
Carbon sequestration and nutrients improvement meditated by biochar in a 3-year vegetable rotation system,"Purpose Intensive cultivation is an agrotechnology that has become highly popular among farmers around the world. However, carbon (C) loss and nitrogen (N) loss are found because of intense and year-round crop production, high N-fertilizer application, higher temperatures and frequent irrigation in intensive cultivation system. Biochar is a more practical and suitable strategy to enhance soil quality in plastic shed. The purpose of the present study was to understand how to manipulate biochar-induced changes in soil properties. Materials and methods A consecutive 3-year field experiment was performed in experimental cells amended with four different dosages of straw biochar (0, 10, 20, and 40 Mg ha(-1)). The soil carbon characteristics and physicochemical properties were determined. Results and discussion The soil organic carbon (SOC) contents increased by 8.5-47.5% after once initial straw biochar application, which owing to the recalcitrant nature of biochar. The SOC contents gradually decreased by 4.8-35.8% after 3 years, because biochar owned the labile carbon fraction. The mechanisms that carbon contents in the proportion of micro-aggregates (< 250 mu m) increased by 81.3-89.6%, while that of macro-aggregates (> 250 mu m) decreased by 59.4-73.4% after straw biochar application resulted the carbon easily oxidized organic carbon content by 3.8-25.9%. The Electrical Conductivity, available phosphorus, and available potassium in the soil samples were enhanced by 5.9-19.3%, 6.0-14.9%, and 47.5-148.4%, respectively, after biochar application. The adsorption of biochar ensured the nutrient contents to be retained in the soil. Conclusions Field studies help in better prediction of the effects of biochar addition on soil C sequestration and soil nutrients cycling. The parameters are important when investigating the extent of the effects of soil biochar amendment for vegetable rotations in plastic shed. The 20 Mg ha(-1) straw biochar could be an appropriate dosage for vegetables cultivation to meet the purposes of carbon storage and nutrient retaining.",,Biochar; Intensive cultivation; SOC stability; Soil aggregate; Vegetable,No (2)
Multifunctional applications of biochar beyond carbon storage,"Biochar is produced as a charred material with high surface area and abundant functional groups by pyrolysis, which refers to the process of thermochemical decomposition of organic material at elevated temperatures in the absence of oxygen. The carbon component in biochar is relatively stable, and, hence, biochar was originally proposed as a soil amendment to store carbon in the soil. Biochar has multifunctional values that include the use of it for the following purposes: soil amendment to improve soil health, nutrient and microbial carrier, immobilising agent for remediation of toxic metals and organic contaminants in soil and water, catalyst for industrial applications, porous material for mitigating greenhouse gas emissions and odorous compounds, and feed supplement to improve animal health and nutrient intake efficiency and, thus, productivity. This article provides for the first time an overview of the multifunctional values and unintended consequences of biochar applications.",2022,Multifunctional values of biochar; biochar-derived catalysts; biochar for carbon storage and capturing greenhouse gases; soil health; remediation of contaminated soil; water; and air; animal feed; composite manufacturing; construction; life-cycle analysis of biochar,Yes (1)
Monitoring geological storage of CO2 using a new rock physics model,"To mitigate the global warming crisis, one of the effective ways is to capture CO2 at an emitting source and inject it underground in saline aquifers, depleted oil and gas reservoirs, or in coal beds. This process is known as carbon capture and storage (CCS). With CCS, CO2 is considered a waste product that has to be disposed of properly, like sewage and other pollutants. While and after CO2 injection, monitoring of the CO2 storage site is necessary to observe CO2 plume movement and detect potential leakage. For CO2 monitoring, various physical property changes are employed to delineate the plume area and migration pathways with their pros and cons. We introduce a new rock physics model to facilitate the time-lapse estimation of CO2 saturation and possible pressure changes within a CO2 storage reservoir based on physical properties obtained from the prestack seismic inversion. We demonstrate that the CO2 plume delineation, saturation, and pressure changes estimations are possible using a combination of Acoustic Impedance (AI) and P- to S-wave velocity ratio (Vp/Vs) inverted from time-lapse or four-dimensional (4D) seismic. We assumed a scenario over a period of 40 years comprising an initial 25 year injection period. Our results show that monitoring the CO2 plume in terms of extent and saturation can be carried out using our rock physics-derived method. The suggested method, without going into the elastic moduli level, handles the elastic property cubes, which are commonly obtained from the prestack seismic inversion. Pressure changes quantification is also possible within un-cemented sands; however, the stress/cementation coefficient in our proposed model needs further study to relate that with effective stress in various types of sandstones. The three-dimensional (3D) seismic usually covers the area from the reservoir's base to the surface making it possible to detect the CO2 plume's lateral and vertical migration. However, the comparatively low resolution of seismic, the inversion uncertainties, lateral mineral, and shale property variations are some limitations, which warrant consideration. This method can also be applied for the exploration and monitoring of hydrocarbon production.",2022,,No (2)
Gasification kinetics of char derived from metallised food packaging plastics waste pyrolysis,"This research aims to study the gasification kinetics of char derived from metallised food packaging plastics waste (MFPWs) pyrolysis. The research began with treating char mechanically to obtain uniform char powder (MSRPs) composed of aluminium (Al), undecomposed organic fraction, and carbon particles. Subsequently, the MSRPs sample was treated again chemically to remove Al, thus preparing carbon black particles (BCPs). The chemical composition and morphology of the prepared MSRPs and BCPs samples were determined using elemental and proximate analysis, SEM, and XRD. Meanwhile, thermogravimetric analyser (TGA-DTG) was used to study the thermal stability of MSRPs and BCPs samples in different CO2/N-2 concentrations: 20/80, 25/75, and 30/70 vol%. Once the tested samples stabilized at the target temperature the gasification analysis was started. Finally, gasification kinetics of MSRPs and BCPs samples were investigated using Random Pore Model (RPM) and Hybrid Modified Random Pore Model (HMRPM) based on thermogravimetric results. The proximate results showed that the MSRPs were rich in volatile matter (41.5 wt%), while ash (51.1 wt%) was the major component in the BCPs sample. The TGA-DTG gasification results revealed that MSRPs sample can decompose in three zones with a total weight loss of 45 wt%, while the BCPs samples decomposed linearly with a total weight loss of 22 wt%. The kinetic results showed that Al leaching, gasification temperature, and CO2/N-2 concentrations have a significant effect on prediction of gasification kinetics parameters and deviation of their fitting curves. (C) 2021 Elsevier Ltd. All rights reserved.",2022,Plastic waste; Metallised food packaging plastics; Pyrolysis; Biochar; Gasification kinetics; Kinetic models,No (2)
Responses of soil organic carbon to conservation practices including climate-smart agriculture in tropical and subtropical regions: A meta-analysis,"Considering the current threatening conditions of climate change, Climate Smart Agriculture (CSA) aims to improve the soil health and its organic carbon stocks by encouraging soil carbon sequestration through conservation practices in agricultural lands. However, the effects of these practices differ due to diverse climatic scenario, soil characteristics and management system. To identify the suitable practices that can be effective under tropical and subtropical conditions, a systematic evaluation in the form of a meta-analysis of these practices and their outcomes was performed over those regions. In this work we have included 516 observations from 84 articles published from 2000 to 2021 to analyse the influence of three CSA practices (conservation tillage, cover crop and biochar application) on the SOC (soil organic carbon) stocks over varying periods of experimentation. In addition to this, the combined effect of CSA and other conservation agronomic practices such as agroforestry has also been considered in the analysis. The results showed that biochar application had the most influence upon SOC stocks in the agricultural lands (25.38%) followed by conservation tillage (18.81%) and cover crop (15.8%). Medium term experiments (6-20 years) of these conservation practices showed about 31.00-96.15%improvement in SOC while the effects gradually diminished in long term experiments (>20 years). The combinations of these practices have been observed to have an evidently positive impact upon the SOC stocks in general. This work provides a systematic evaluation of all the widely performed CSA and other conservation practices and their effects on SOC dynamics under differing management settings. (c) 2021 Elsevier B.V. All rights reserved.",2022,CSA practices; Climate change; SOC stocks; Tropics and subtropics; Meta-analysis,No (2)
Effects of microplastics on soil carbon dioxide emissions and the microbial functional genes involved in organic carbon decomposition in agricultural soil,"The accumulation of microplastics (MPs) in agricultural fields can not only disguise soil organic carbon (SOC) storage but also affect the production of carbon dioxide (CO2) by microbial decomposition. However, little is known about the impact of this emerging pollutant on soil CO2 emissions and the functional genes related to SOC degradation. In the present study, a short-term (30-day) microcosm experiment was performed to investigate the effects of virgin and aged low-density polyethylene (LDPE) MPs on soil CO2 emissions. We also measured functional gene abundances related to starch (sga), hemicellulose (abfA, manB and xylA), cellulose (cex) and lignin (lig and mnp) degradation through a high-throughput quantitative-PCR-based chip. Compared with the soils without MPs, low doses (0.01% and 0.1%) of both virgin and aged MPs had negligible effects on SOC decomposition, whereas a high dose (1.0%) of these two MPs significantly (p < 0.05) accelerated the production of CO2 in soils by 15-17%, showing a dose-dependent effect. The presence of MPs did not significantly affect soil dissolved organic carbon or microbial biomass carbon. A higher metabolic quotient at 1.0% MP concentration indicated that the microbes were stressed and needed more substrates and energy during their metabolic process, which could likely explain the increase in CO2 emission induced by this dose of MPs. Exposure to virgin MPs significantly reduced the functional genes related to hemicellulose (abfA and manB) degradation, whereas increasing the aged MPs concentrations significantly decreased the abundances of functional genes encoding starch (sga), hemicellulose (abfA, manB and xylA), and cellulose (cex) hydrolysis. Overall, we conclude that the low dose (<0.1%) of MPs in the soils has a negligible effect on the production of CO2, but this factor should be considered in evaluating the global C budget in future research as this contaminant reaches a certain threshold (1.0%). (C) 2021 Elsevier B.V. All rights reserved.",2022,Microplastics; Organic carbon decomposition; Microbial functional gene; Microbial metabolic quotient; Arable soil,No (2)
Environmental benefit assessment of steel slag utilization and carbonation: A systematic review,"The rapid increase in steel slag generation globally highlights the urgent need to manage the disposal or utilization processes. In addition to conventional landfill disposal, researchers have successfully reused steel slag in the construction, chemical, and agricultural fields. With the large portions of alkaline silicate mineral content, steel slag can also be used as a suitable material for carbon capture to mitigate global warming. This article comprehensively reviews the environmental performance of steel slag utilization, especially emphasizing quantitative evaluation using life cycle assessment. This paper first illustrates the production processes, properties, and applications of steel slag, and then summarizes the key findings of the environmental benefits for steel slag utilization using life cycle assessment from the reviewed literature. This paper also identifies the limitations of quantifying the environmental benefits using life cycle assessment. The results indicate steel slag is largely utilized in pavement concrete and/or block as a substitution for natural aggregates. The associated environmental benefits are mostly attributed to the avoidance of the large amount of cement utilized. The environmental benefits for the substitution of traditional energy-intensive material and carbonation treatment are further discussed in detail. Due to the presence of heavy metals, the potential risks to human and ecological health caused by the manufacturing process and usage stage are examined. Finally, the current challenges and global social implications for steel slag valorization are summarized. (c) 2021 Elsevier B.V. All rights reserved.",2022,Steel slag; Life cycle assessment; Environmental assessment; Mineral carbonation; Global warming potential; Construction material,No (2)
"Assessment of livestock manure-derived hydrochar as cleaner products: Insights into basic properties, nutrient composition, and heavy metal content","Conversion of livestock manure to hydrochar through hydrothermal carbonization (HTC) could fix carbon and reduce pollution. The properties of hydrochar largely determined its application; thus, it is significant to comprehensively assess the manure-derived hydrochars (MHCs). However, relatively few systematic studies on MHCs are insufficient to support agricultural research on MHCs. This study investigated the basic properties, nutrient composition and speciation, and heavy metal content in pig/cattle manure and its MHCs (PCs and CCs). Results showed that MHCs were neutral and weakly acidic, which were milder than its alkalinity manure, and could not change the soil acidity too much when applied to the soil. After HTC, nitrogen (N) and phosphorus (P) contents were enriched in CCs with 3.47–21.5% N and 69.6–135% P, and in PCs with 74.1–132% P. MHCs prepared at higher temperature had stronger resistance to degradation due to rich ash content, which was conducive to carbon sequestration as soil remediation agents. Besides, the MHCs with rich ash content could also supplement macro/micronutrients for plant growth. More calcium-bound P content (2.26–2.44 times for PCs, 4.78–5.38 times for CCs) suggested that HTC promoted P fixation in MHCs, further reduced nutrient loss, and relieved the eutrophication. Most concentrated heavy metals in MHCs were still up to the biochar-based organic fertilizer standard, which could not increase heavy metal risk compared with manure. Overall, the MHCs as energy-saving and value-added products with sufficient and balanced nutrients and limited heavy metal pollution risk, which can yield valuable agricultural potential. This research would provide theoretical support for the agricultural utilization of MHCs. © 2021 Elsevier Ltd",2022,,No (2)
Commercial forest carbon protocol over-credit bias delimited by zero-threshold carbon accounting,"The validity of forest carbon offsets is increasingly called into question. However, despite the use of commercial forest carbon protocols (CFCPs) for more than two decades, claiming ∼566 MMtCO2e and a market value of ∼USD $15.7 billion, comparative analysis and quality assurance of CFCP methodology and offset results are limited. In this study, five widely used biometric-based CFCPs are characterized and compared with results of directly measured CO2 by eddy covariance, a meteorological method integrating vertical fluxes of forest and soil carbon and the only alternative non-biometric source of net forest carbon sequestration data available. We show that CFCPs share a structural feature delimiting forest carbon values by zero-threshold carbon accounting (gC m−2 y−1 or d−1 ≤ 0), confirming reported forest carbon uncertainty, elucidating the data gap across CFCPs, and emphasizing the need for urgent improvement. The CFCP pattern of values is in contrast to known natural emissions of global forest CO2 exchange that is based on direct measurement, obviating a fundamental biological constraint on net forest carbon storage (i.e., soil efflux, ecosystem respiration). Exclusion of forest CO2 sources to the atmosphere precludes net carbon accounting, resulting in unavoidable over-credit of CFCP project offsets. CFCP carbon results are significantly different from global forest CO2 net ecosystem exchange population results (FLUXNET2015 gC m−2) at the 95 to 99.99% confidence levels, inferring an annual median error of ∼247% (gC m−2), consistent with over-crediting. Given the urgency of reliably reducing CO2 emissions and achievement of net-zero and carbon neutral goals, direct CO2 measurement provides a quality-assured alternative method for commercial forest carbon products with the potential to harmonize global markets, catalyzing the role of forests in managing climate change through nature-based solutions. © 2021",2022,,No (2)
"CO2 Injection Deformation Monitoring Based on UAV and InSAR Technology: A Case Study of Shizhuang Town, Shanxi Province, China","Carbon Capture, Utilization and Storage, also referred to as Carbon Capture, Utilization and Sequestration (CCUS), is one of the novel climate mitigation technologies by which CO2 emissions are captured from sources, such as fossil power generation and industrial processes, and further either reused or stored with more attention being paid on the utilization of captured CO2. In the whole CCUS process, the dominant migration pathway of CO2 after being injected underground becomes very important information to judge the possible storage status as well as one of the essential references for evaluating possible environmental affects. Interferometric Synthetic Aperture Radar (InSAR) technology, with its advantages of extensive coverage in surface deformation monitoring and all-weather traceability of the injection processes, has become one of the promising technologies frequently adopted in worldwide CCUS projects. In this study, taking the CCUS sequestration area in Shizhuang Town, Shanxi Province, China, as an example, unmanned aerial vehicle (UAV) photography measurement technology with a 3D surface model at a resolution of 5.3 cm was applied to extract the high-resolution digital elevation model (DEM) of the study site in coordination with InSAR technology to more clearly display the results of surface deformation monitoring of the CO2 injection area. A 2 km surface heaving dynamic processes before and after injection from June 2020 to July 2021 was obtained, and a CO2 migration pathway northeastward was observed, which was rather consistent with the monitoring results by logging and micro-seismic studies. Additionally, an integrated monitoring scheme, which will be the trend of monitoring in the future, is proposed in the discussion.",2022,CCUS; surface deformation monitoring; InSAR; CO2 migration pathway,No (2)
"Carbon Dioxide Emissions, Capture, Storage and Utilization: Review of Materials, Processes and Technologies","Carbon capture and storage (CCS) is an essential component of mitigating climate change, which arguably presents an existential challenge to our planet. Although CO2 emissions have been on the global agenda for several decades, progress has been extremely slow, insufficient and sporadic. Anthropogenic CO2 emissions are the direct result of our addiction to fossil fuels, and in 2018 accounted for 68% (or, 37.5 GtCO(2)) out of the total greenhouse gas (GHG) emissions of 55.3 GtCO(2e) globally. Capturing CO2 at such massive quantities would require resources and technologies that can operate cost-effectively at the multigigaton scale, which we currently lack. Moreover, CO2 capture is an expensive and highly energy intensive process complicated further by logistics and the diversity of the emission sources that vary by volume, composition, location, type, and industry or sector. At the same time, however, such diversity also highlights that one size does not fit all, and hence, dictates the need for a multi-prong strategy that emphasizes the necessity to develop wide range of CCS technologies, materials and processes. This article presents a global overview and impartial assessment of the current state of CCS challenges in an extensive manner covered under the main headings of pre- and post-combustion CO2 capture, direct air capture, CO2 transport and storage and utilization, and carbon pricing. Materials aspects of post-combustion CO2 capture technologies are reviewed in detail. The article provides critical discussions of fundamental phenomena and recent advances in the field, as well as tutorial-type background information, where appropriate. The article reviews the status of global CO2 emissions as well as carbon sources and sinks, and examines a broad range of major technologies, methodologies, processes, and materials for CO2 capture, discusses technology options for carbon capture from fossil fuel-based power generation, presents the challenges to storage, utilization and the global pricing of CO2, and finishes with an assessment of knowledge gaps, mitigation options and opportunities for advances. The article emphasizes the fact that there are no easy fixes or cheap technological solutions to the interconnected problems of energy, CO2 emissions and climate change. The threats to Earth's ecosystems are too real and imminent to be judged and driven only by economics. In this existential context, the choice between 'pay now' or 'pay later' is clear and paying later will be much more expensive. The world must act now.",2022,Carbon dioxide; Carbon capture and storage; CO2 emissions; Pre-combustion; Post-combustion; Oxy-combustion; Direct air capture; CO2 utilization; CO2 sorbent materials; Oxygen-based conversion; Climate change,No (2)
